PerformanceDate,MonthStart,Channel,OfferedContacts,AnsweredWithinTarget,AbandonedContacts,SLA_TargetPct,ACR_TargetPct,Supervisor,ManagerEmail
2026-05-01,2026-05-01,Voice,103,89,4,0.80,0.05,Mia Santos,mia.santos@contoso.com
2026-05-01,2026-05-01,Chat,84,76,3,0.85,0.04,Noah Reyes,noah.reyes@contoso.com
2026-05-02,2026-05-01,Voice,106,93,3,0.80,0.05,Mia Santos,mia.santos@contoso.com
2026-05-02,2026-05-01,Chat,88,80,2,0.85,0.04,Noah Reyes,noah.reyes@contoso.com
2026-05-03,2026-05-01,Voice,109,93,4,0.80,0.05,Mia Santos,mia.santos@contoso.com
2026-05-03,2026-05-01,Chat,92,82,3,0.85,0.04,Noah Reyes,noah.reyes@contoso.com
2026-05-04,2026-05-01,Voice,112,97,3,0.80,0.05,Mia Santos,mia.santos@contoso.com
2026-05-04,2026-05-01,Chat,96,87,2,0.85,0.04,Noah Reyes,noah.reyes@contoso.com
2026-05-05,2026-05-01,Voice,120,91,5,0.80,0.05,Mia Santos,mia.santos@contoso.com
2026-05-05,2026-05-01,Chat,100,92,3,0.85,0.04,Noah Reyes,noah.reyes@contoso.com
2026-05-06,2026-05-01,Voice,118,101,3,0.80,0.05,Mia Santos,mia.santos@contoso.com
2026-05-06,2026-05-01,Chat,104,93,2,0.85,0.04,Noah Reyes,noah.reyes@contoso.com
2026-05-07,2026-05-01,Voice,100,87,4,0.80,0.05,Mia Santos,mia.santos@contoso.com
2026-05-07,2026-05-01,Chat,80,72,3,0.85,0.04,Noah Reyes,noah.reyes@contoso.com
2026-05-08,2026-05-01,Voice,103,90,3,0.80,0.05,Mia Santos,mia.santos@contoso.com
2026-05-08,2026-05-01,Chat,84,77,2,0.85,0.04,Noah Reyes,noah.reyes@contoso.com
2026-05-09,2026-05-01,Voice,106,91,4,0.80,0.05,Mia Santos,mia.santos@contoso.com
2026-05-09,2026-05-01,Chat,100,92,8,0.85,0.04,Noah Reyes,noah.reyes@contoso.com
2026-05-10,2026-05-01,Voice,109,94,3,0.80,0.05,Mia Santos,mia.santos@contoso.com
2026-05-10,2026-05-01,Chat,92,83,2,0.85,0.04,Noah Reyes,noah.reyes@contoso.com
2026-05-11,2026-05-01,Voice,112,98,4,0.80,0.05,Mia Santos,mia.santos@contoso.com
2026-05-11,2026-05-01,Chat,96,88,3,0.85,0.04,Noah Reyes,noah.reyes@contoso.com
2026-05-12,2026-05-01,Voice,115,98,3,0.80,0.05,Mia Santos,mia.santos@contoso.com
2026-05-12,2026-05-01,Chat,100,90,2,0.85,0.04,Noah Reyes,noah.reyes@contoso.com
2026-05-13,2026-05-01,Voice,118,102,4,0.80,0.05,Mia Santos,mia.santos@contoso.com
2026-05-13,2026-05-01,Chat,104,94,3,0.85,0.04,Noah Reyes,noah.reyes@contoso.com
2026-05-14,2026-05-01,Voice,100,75,8,0.80,0.05,Mia Santos,mia.santos@contoso.com
2026-05-14,2026-05-01,Chat,80,73,2,0.85,0.04,Noah Reyes,noah.reyes@contoso.com
2026-05-15,2026-05-01,Voice,103,88,4,0.80,0.05,Mia Santos,mia.santos@contoso.com
2026-05-15,2026-05-01,Chat,84,75,3,0.85,0.04,Noah Reyes,noah.reyes@contoso.com
2026-05-16,2026-05-01,Voice,106,92,3,0.80,0.05,Mia Santos,mia.santos@contoso.com
2026-05-16,2026-05-01,Chat,88,80,2,0.85,0.04,Noah Reyes,noah.reyes@contoso.com
2026-05-17,2026-05-01,Voice,109,95,4,0.80,0.05,Mia Santos,mia.santos@contoso.com
2026-05-17,2026-05-01,Chat,92,84,3,0.85,0.04,Noah Reyes,noah.reyes@contoso.com
2026-05-18,2026-05-01,Voice,112,96,3,0.80,0.05,Mia Santos,mia.santos@contoso.com
2026-05-18,2026-05-01,Chat,96,86,2,0.85,0.04,Noah Reyes,noah.reyes@contoso.com
2026-05-19,2026-05-01,Voice,115,100,4,0.80,0.05,Mia Santos,mia.santos@contoso.com
2026-05-19,2026-05-01,Chat,100,91,3,0.85,0.04,Noah Reyes,noah.reyes@contoso.com
2026-05-20,2026-05-01,Voice,118,103,3,0.80,0.05,Mia Santos,mia.santos@contoso.com
2026-05-20,2026-05-01,Chat,96,74,4,0.85,0.04,Noah Reyes,noah.reyes@contoso.com
2026-05-21,2026-05-01,Voice,100,86,4,0.80,0.05,Mia Santos,mia.santos@contoso.com
2026-05-21,2026-05-01,Chat,80,72,3,0.85,0.04,Noah Reyes,noah.reyes@contoso.com
2026-05-22,2026-05-01,Voice,103,89,3,0.80,0.05,Mia Santos,mia.santos@contoso.com
2026-05-22,2026-05-01,Chat,84,76,2,0.85,0.04,Noah Reyes,noah.reyes@contoso.com
2026-05-23,2026-05-01,Voice,106,93,4,0.80,0.05,Mia Santos,mia.santos@contoso.com
2026-05-23,2026-05-01,Chat,88,80,3,0.85,0.04,Noah Reyes,noah.reyes@contoso.com
2026-05-24,2026-05-01,Voice,109,93,3,0.80,0.05,Mia Santos,mia.santos@contoso.com
2026-05-24,2026-05-01,Chat,92,82,2,0.85,0.04,Noah Reyes,noah.reyes@contoso.com
2026-05-25,2026-05-01,Voice,112,97,4,0.80,0.05,Mia Santos,mia.santos@contoso.com
2026-05-25,2026-05-01,Chat,96,87,3,0.85,0.04,Noah Reyes,noah.reyes@contoso.com
2026-05-26,2026-05-01,Voice,115,101,3,0.80,0.05,Mia Santos,mia.santos@contoso.com
2026-05-26,2026-05-01,Chat,100,92,2,0.85,0.04,Noah Reyes,noah.reyes@contoso.com
2026-05-27,2026-05-01,Voice,118,101,4,0.80,0.05,Mia Santos,mia.santos@contoso.com
2026-05-27,2026-05-01,Chat,104,93,3,0.85,0.04,Noah Reyes,noah.reyes@contoso.com
2026-05-28,2026-05-01,Voice,100,87,3,0.80,0.05,Mia Santos,mia.santos@contoso.com
2026-05-28,2026-05-01,Chat,80,72,2,0.85,0.04,Noah Reyes,noah.reyes@contoso.com
2026-05-29,2026-05-01,Voice,103,90,4,0.80,0.05,Mia Santos,mia.santos@contoso.com
2026-05-29,2026-05-01,Chat,84,77,3,0.85,0.04,Noah Reyes,noah.reyes@contoso.com
2026-05-30,2026-05-01,Voice,106,91,3,0.80,0.05,Mia Santos,mia.santos@contoso.com
2026-05-30,2026-05-01,Chat,88,79,2,0.85,0.04,Noah Reyes,noah.reyes@contoso.com
2026-05-31,2026-05-01,Voice,109,94,4,0.80,0.05,Mia Santos,mia.santos@contoso.com
2026-05-31,2026-05-01,Chat,92,83,3,0.85,0.04,Noah Reyes,noah.reyes@contoso.com
2026-06-01,2026-06-01,Voice,103,89,4,0.80,0.05,Mia Santos,mia.santos@contoso.com
2026-06-01,2026-06-01,Chat,84,76,3,0.85,0.04,Noah Reyes,noah.reyes@contoso.com
2026-06-02,2026-06-01,Voice,115,101,8,0.80,0.05,Mia Santos,mia.santos@contoso.com
2026-06-02,2026-06-01,Chat,88,80,2,0.85,0.04,Noah Reyes,noah.reyes@contoso.com
2026-06-03,2026-06-01,Voice,109,93,4,0.80,0.05,Mia Santos,mia.santos@contoso.com
2026-06-03,2026-06-01,Chat,92,82,3,0.85,0.04,Noah Reyes,noah.reyes@contoso.com
2026-06-04,2026-06-01,Voice,112,97,3,0.80,0.05,Mia Santos,mia.santos@contoso.com
2026-06-04,2026-06-01,Chat,96,87,2,0.85,0.04,Noah Reyes,noah.reyes@contoso.com
2026-06-05,2026-06-01,Voice,115,101,4,0.80,0.05,Mia Santos,mia.santos@contoso.com
2026-06-05,2026-06-01,Chat,100,92,3,0.85,0.04,Noah Reyes,noah.reyes@contoso.com
2026-06-06,2026-06-01,Voice,118,101,3,0.80,0.05,Mia Santos,mia.santos@contoso.com
2026-06-06,2026-06-01,Chat,104,93,2,0.85,0.04,Noah Reyes,noah.reyes@contoso.com
2026-06-07,2026-06-01,Voice,100,87,4,0.80,0.05,Mia Santos,mia.santos@contoso.com
2026-06-07,2026-06-01,Chat,80,72,3,0.85,0.04,Noah Reyes,noah.reyes@contoso.com
2026-06-08,2026-06-01,Voice,103,90,3,0.80,0.05,Mia Santos,mia.santos@contoso.com
2026-06-08,2026-06-01,Chat,84,77,2,0.85,0.04,Noah Reyes,noah.reyes@contoso.com
2026-06-09,2026-06-01,Voice,106,91,4,0.80,0.05,Mia Santos,mia.santos@contoso.com
2026-06-09,2026-06-01,Chat,88,79,3,0.85,0.04,Noah Reyes,noah.reyes@contoso.com
2026-06-10,2026-06-01,Voice,109,94,3,0.80,0.05,Mia Santos,mia.santos@contoso.com
2026-06-10,2026-06-01,Chat,100,76,8,0.85,0.04,Noah Reyes,noah.reyes@contoso.com
2026-06-11,2026-06-01,Voice,112,98,4,0.80,0.05,Mia Santos,mia.santos@contoso.com
2026-06-11,2026-06-01,Chat,96,88,3,0.85,0.04,Noah Reyes,noah.reyes@contoso.com
2026-06-12,2026-06-01,Voice,115,98,3,0.80,0.05,Mia Santos,mia.santos@contoso.com
2026-06-12,2026-06-01,Chat,100,90,2,0.85,0.04,Noah Reyes,noah.reyes@contoso.com
2026-06-13,2026-06-01,Voice,118,102,4,0.80,0.05,Mia Santos,mia.santos@contoso.com
2026-06-13,2026-06-01,Chat,104,94,3,0.85,0.04,Noah Reyes,noah.reyes@contoso.com
2026-06-14,2026-06-01,Voice,100,88,3,0.80,0.05,Mia Santos,mia.santos@contoso.com
2026-06-14,2026-06-01,Chat,80,73,2,0.85,0.04,Noah Reyes,noah.reyes@contoso.com
2026-06-15,2026-06-01,Voice,103,88,4,0.80,0.05,Mia Santos,mia.santos@contoso.com
2026-06-15,2026-06-01,Chat,84,75,3,0.85,0.04,Noah Reyes,noah.reyes@contoso.com
2026-06-16,2026-06-01,Voice,106,92,3,0.80,0.05,Mia Santos,mia.santos@contoso.com
2026-06-16,2026-06-01,Chat,88,80,2,0.85,0.04,Noah Reyes,noah.reyes@contoso.com
2026-06-17,2026-06-01,Voice,109,95,4,0.80,0.05,Mia Santos,mia.santos@contoso.com
2026-06-17,2026-06-01,Chat,92,84,3,0.85,0.04,Noah Reyes,noah.reyes@contoso.com
2026-06-18,2026-06-01,Voice,112,96,3,0.80,0.05,Mia Santos,mia.santos@contoso.com
2026-06-18,2026-06-01,Chat,96,86,2,0.85,0.04,Noah Reyes,noah.reyes@contoso.com
2026-06-19,2026-06-01,Voice,110,86,4,0.80,0.05,Mia Santos,mia.santos@contoso.com
2026-06-19,2026-06-01,Chat,100,91,3,0.85,0.04,Noah Reyes,noah.reyes@contoso.com
2026-06-20,2026-06-01,Voice,118,103,3,0.80,0.05,Mia Santos,mia.santos@contoso.com
2026-06-20,2026-06-01,Chat,104,95,2,0.85,0.04,Noah Reyes,noah.reyes@contoso.com
2026-06-21,2026-06-01,Voice,100,86,4,0.80,0.05,Mia Santos,mia.santos@contoso.com
2026-06-21,2026-06-01,Chat,80,72,3,0.85,0.04,Noah Reyes,noah.reyes@contoso.com
2026-06-22,2026-06-01,Voice,103,89,3,0.80,0.05,Mia Santos,mia.santos@contoso.com
2026-06-22,2026-06-01,Chat,84,76,2,0.85,0.04,Noah Reyes,noah.reyes@contoso.com
2026-06-23,2026-06-01,Voice,106,93,4,0.80,0.05,Mia Santos,mia.santos@contoso.com
2026-06-23,2026-06-01,Chat,88,80,3,0.85,0.04,Noah Reyes,noah.reyes@contoso.com
2026-06-24,2026-06-01,Voice,109,93,3,0.80,0.05,Mia Santos,mia.santos@contoso.com
2026-06-24,2026-06-01,Chat,92,82,2,0.85,0.04,Noah Reyes,noah.reyes@contoso.com
2026-06-25,2026-06-01,Voice,112,97,4,0.80,0.05,Mia Santos,mia.santos@contoso.com
2026-06-25,2026-06-01,Chat,96,87,3,0.85,0.04,Noah Reyes,noah.reyes@contoso.com
2026-06-26,2026-06-01,Voice,115,101,3,0.80,0.05,Mia Santos,mia.santos@contoso.com
2026-06-26,2026-06-01,Chat,100,92,2,0.85,0.04,Noah Reyes,noah.reyes@contoso.com
2026-06-27,2026-06-01,Voice,118,101,4,0.80,0.05,Mia Santos,mia.santos@contoso.com
2026-06-27,2026-06-01,Chat,104,93,3,0.85,0.04,Noah Reyes,noah.reyes@contoso.com
2026-06-28,2026-06-01,Voice,100,87,3,0.80,0.05,Mia Santos,mia.santos@contoso.com
2026-06-28,2026-06-01,Chat,102,91,7,0.85,0.04,Noah Reyes,noah.reyes@contoso.com
2026-06-29,2026-06-01,Voice,103,90,4,0.80,0.05,Mia Santos,mia.santos@contoso.com
2026-06-29,2026-06-01,Chat,84,77,3,0.85,0.04,Noah Reyes,noah.reyes@contoso.com
2026-06-30,2026-06-01,Voice,106,91,3,0.80,0.05,Mia Santos,mia.santos@contoso.com
2026-06-30,2026-06-01,Chat,88,79,2,0.85,0.04,Noah Reyes,noah.reyes@contoso.com
2026-07-01,2026-07-01,Voice,103,89,4,0.80,0.05,Mia Santos,mia.santos@contoso.com
2026-07-01,2026-07-01,Chat,84,76,3,0.85,0.04,Noah Reyes,noah.reyes@contoso.com
2026-07-02,2026-07-01,Voice,106,93,3,0.80,0.05,Mia Santos,mia.santos@contoso.com
2026-07-02,2026-07-01,Chat,88,80,2,0.85,0.04,Noah Reyes,noah.reyes@contoso.com
2026-07-03,2026-07-01,Voice,109,93,4,0.80,0.05,Mia Santos,mia.santos@contoso.com
2026-07-03,2026-07-01,Chat,92,82,3,0.85,0.04,Noah Reyes,noah.reyes@contoso.com
2026-07-04,2026-07-01,Voice,112,97,3,0.80,0.05,Mia Santos,mia.santos@contoso.com
2026-07-04,2026-07-01,Chat,96,87,2,0.85,0.04,Noah Reyes,noah.reyes@contoso.com
2026-07-05,2026-07-01,Voice,115,101,4,0.80,0.05,Mia Santos,mia.santos@contoso.com
2026-07-05,2026-07-01,Chat,100,92,3,0.85,0.04,Noah Reyes,noah.reyes@contoso.com
2026-07-06,2026-07-01,Voice,118,101,3,0.80,0.05,Mia Santos,mia.santos@contoso.com
2026-07-06,2026-07-01,Chat,104,93,2,0.85,0.04,Noah Reyes,noah.reyes@contoso.com
2026-07-07,2026-07-01,Voice,120,91,8,0.80,0.05,Mia Santos,mia.santos@contoso.com
2026-07-07,2026-07-01,Chat,80,72,3,0.85,0.04,Noah Reyes,noah.reyes@contoso.com
2026-07-08,2026-07-01,Voice,103,90,3,0.80,0.05,Mia Santos,mia.santos@contoso.com
2026-07-08,2026-07-01,Chat,84,77,2,0.85,0.04,Noah Reyes,noah.reyes@contoso.com
2026-07-09,2026-07-01,Voice,106,91,4,0.80,0.05,Mia Santos,mia.santos@contoso.com
2026-07-09,2026-07-01,Chat,88,79,3,0.85,0.04,Noah Reyes,noah.reyes@contoso.com
2026-07-10,2026-07-01,Voice,109,94,3,0.80,0.05,Mia Santos,mia.santos@contoso.com
2026-07-10,2026-07-01,Chat,92,83,2,0.85,0.04,Noah Reyes,noah.reyes@contoso.com
2026-07-11,2026-07-01,Voice,112,98,4,0.80,0.05,Mia Santos,mia.santos@contoso.com
2026-07-11,2026-07-01,Chat,96,88,3,0.85,0.04,Noah Reyes,noah.reyes@contoso.com
2026-07-12,2026-07-01,Voice,115,98,3,0.80,0.05,Mia Santos,mia.santos@contoso.com
2026-07-12,2026-07-01,Chat,100,90,2,0.85,0.04,Noah Reyes,noah.reyes@contoso.com
2026-07-13,2026-07-01,Voice,118,102,4,0.80,0.05,Mia Santos,mia.santos@contoso.com
2026-07-13,2026-07-01,Chat,104,94,3,0.85,0.04,Noah Reyes,noah.reyes@contoso.com
2026-07-14,2026-07-01,Voice,100,88,3,0.80,0.05,Mia Santos,mia.santos@contoso.com
2026-07-14,2026-07-01,Chat,80,73,2,0.85,0.04,Noah Reyes,noah.reyes@contoso.com
2026-07-15,2026-07-01,Voice,103,88,4,0.80,0.05,Mia Santos,mia.santos@contoso.com
2026-07-15,2026-07-01,Chat,84,75,3,0.85,0.04,Noah Reyes,noah.reyes@contoso.com
2026-07-16,2026-07-01,Voice,106,92,3,0.80,0.05,Mia Santos,mia.santos@contoso.com
2026-07-16,2026-07-01,Chat,88,80,2,0.85,0.04,Noah Reyes,noah.reyes@contoso.com
2026-07-17,2026-07-01,Voice,109,95,4,0.80,0.05,Mia Santos,mia.santos@contoso.com
2026-07-17,2026-07-01,Chat,92,84,3,0.85,0.04,Noah Reyes,noah.reyes@contoso.com
2026-07-18,2026-07-01,Voice,112,96,3,0.80,0.05,Mia Santos,mia.santos@contoso.com
2026-07-18,2026-07-01,Chat,105,81,5,0.85,0.04,Noah Reyes,noah.reyes@contoso.com
2026-07-19,2026-07-01,Voice,115,100,4,0.80,0.05,Mia Santos,mia.santos@contoso.com
2026-07-19,2026-07-01,Chat,100,91,3,0.85,0.04,Noah Reyes,noah.reyes@contoso.com
2026-07-20,2026-07-01,Voice,118,103,3,0.80,0.05,Mia Santos,mia.santos@contoso.com
2026-07-20,2026-07-01,Chat,104,95,2,0.85,0.04,Noah Reyes,noah.reyes@contoso.com
2026-07-21,2026-07-01,Voice,100,86,4,0.80,0.05,Mia Santos,mia.santos@contoso.com
2026-07-21,2026-07-01,Chat,80,72,3,0.85,0.04,Noah Reyes,noah.reyes@contoso.com
2026-07-22,2026-07-01,Voice,103,89,3,0.80,0.05,Mia Santos,mia.santos@contoso.com
2026-07-22,2026-07-01,Chat,84,76,2,0.85,0.04,Noah Reyes,noah.reyes@contoso.com
2026-07-23,2026-07-01,Voice,106,93,4,0.80,0.05,Mia Santos,mia.santos@contoso.com
2026-07-23,2026-07-01,Chat,88,80,3,0.85,0.04,Noah Reyes,noah.reyes@contoso.com
2026-07-24,2026-07-01,Voice,110,99,7,0.80,0.05,Mia Santos,mia.santos@contoso.com
2026-07-24,2026-07-01,Chat,92,82,2,0.85,0.04,Noah Reyes,noah.reyes@contoso.com
2026-07-25,2026-07-01,Voice,112,97,4,0.80,0.05,Mia Santos,mia.santos@contoso.com
2026-07-25,2026-07-01,Chat,96,87,3,0.85,0.04,Noah Reyes,noah.reyes@contoso.com
2026-07-26,2026-07-01,Voice,115,101,3,0.80,0.05,Mia Santos,mia.santos@contoso.com
2026-07-26,2026-07-01,Chat,100,92,2,0.85,0.04,Noah Reyes,noah.reyes@contoso.com
2026-07-27,2026-07-01,Voice,118,101,4,0.80,0.05,Mia Santos,mia.santos@contoso.com
2026-07-27,2026-07-01,Chat,104,93,3,0.85,0.04,Noah Reyes,noah.reyes@contoso.com
2026-07-28,2026-07-01,Voice,100,87,3,0.80,0.05,Mia Santos,mia.santos@contoso.com
2026-07-28,2026-07-01,Chat,80,72,2,0.85,0.04,Noah Reyes,noah.reyes@contoso.com
2026-07-29,2026-07-01,Voice,103,90,4,0.80,0.05,Mia Santos,mia.santos@contoso.com
2026-07-29,2026-07-01,Chat,112,85,7,0.85,0.04,Noah Reyes,noah.reyes@contoso.com
2026-07-30,2026-07-01,Voice,106,91,3,0.80,0.05,Mia Santos,mia.santos@contoso.com
2026-07-30,2026-07-01,Chat,88,79,2,0.85,0.04,Noah Reyes,noah.reyes@contoso.com
2026-07-31,2026-07-01,Voice,109,94,4,0.80,0.05,Mia Santos,mia.santos@contoso.com
2026-07-31,2026-07-01,Chat,92,83,3,0.85,0.04,Noah Reyes,noah.reyes@contoso.com
